x: -0.102767944335938, y: 0.146408081054688, z: -0.98394775390625, 
x: -0.101287841796875, y: 0.135055541992188, z: -0.980072021484375, 
x: -0.101760864257812, y: 0.127700805664062, z: -0.983062744140625, 
x: -0.104705810546875, y: 0.126205444335938, z: -0.9801025390625, 
x: -0.102752685546875, y: 0.134063720703125, z: -0.979568481445312, 
x: -0.101791381835938, y: 0.148834228515625, z: -0.97998046875, 
x: -0.099853515625, y: 0.162612915039062, z: -0.979415893554688, 
x: -0.099853515625, y: 0.164566040039062, z: -0.978912353515625, 
x: -0.0998382568359375, y: 0.157684326171875, z: -0.979446411132812, 
x: -0.101791381835938, y: 0.151779174804688, z: -0.979476928710938, 
x: -0.102279663085938, y: 0.146392822265625, z: -0.981979370117188, 
x: -0.102752685546875, y: 0.135086059570312, z: -0.983016967773438, 
x: -0.0993194580078125, y: 0.130142211914062, z: -0.9801025390625, 
x: -0.0973663330078125, y: 0.127670288085938, z: -0.9796142578125, 
x: -0.099822998046875, y: 0.135040283203125, z: -0.978591918945312, 
x: -0.100814819335938, y: 0.1463623046875, z: -0.97802734375, 
x: -0.101806640625, y: 0.157684326171875, z: -0.979446411132812, 
x: -0.101303100585938, y: 0.156707763671875, z: -0.980926513671875, 
x: -0.101791381835938, y: 0.151779174804688, z: -0.979476928710938, 
x: -0.104232788085938, y: 0.144912719726562, z: -0.98297119140625, 
x: -0.103744506835938, y: 0.144439697265625, z: -0.985443115234375, 
x: -0.105209350585938, y: 0.145431518554688, z: -0.986419677734375, 
x: -0.104721069335938, y: 0.144424438476562, z: -0.981491088867188, 
x: -0.106201171875, y: 0.141448974609375, z: -0.978546142578125, 
x: -0.105224609375, y: 0.151275634765625, z: -0.976516723632812, 
x: -0.105728149414062, y: 0.166000366210938, z: -0.972488403320312, 
x: -0.106735229492188, y: 0.190109252929688, z: -0.97235107421875, 
x: -0.10870361328125, y: 0.207366943359375, z: -0.9766845703125, 
x: -0.11212158203125, y: 0.2020263671875, z: -0.986587524414062, 
x: -0.113571166992188, y: 0.184356689453125, z: -0.993087768554688, 
x: -0.105697631835938, y: 0.152877807617188, z: -0.995254516601562, 
x: -0.0904998779296875, y: 0.127700805664062, z: -0.985549926757812, 
x: -0.082672119140625, y: 0.121246337890625, z: -0.977706909179688, 
x: -0.086578369140625, y: 0.122802734375, z: -0.988052368164062, 
x: -0.0983123779296875, y: 0.116439819335938, z: -0.992507934570312, 
x: -0.110565185546875, y: 0.105575561523438, z: -0.984161376953125, 
x: -0.116928100585938, y: 0.10455322265625, z: -0.979721069335938, 
x: -0.115982055664062, y: 0.122222900390625, z: -0.974197387695312, 
x: -0.113082885742188, y: 0.148727416992188, z: -0.96417236328125, 
x: -0.111618041992188, y: 0.170379638671875, z: -0.965545654296875, 
x: -0.11065673828125, y: 0.184219360351562, z: -0.972366333007812, 
x: -0.105255126953125, y: 0.202529907226562, z: -0.988571166992188, 
